first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
u,i,v i,u,i,v i,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,I,v I,u,ī,v ī,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,u,U,u,u,ū,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
u,U,U,u,ū,ū,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
u,f,v f,u,ṛ,v ṛ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,F,v F,u,ṝ,v ṝ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,x,v x,u,ḷ,v ḷ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,X,v X,u,ḹ,v ḹ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,e,v e,u,e,v e,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,E,v E,u,ai,v ai,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,o,v o,u,o,v o,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
u,O,v O,u,au,v au,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,a,v a,ū,a,v a,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,A,v A,ū,ā,v ā,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,i,v i,ū,i,v i,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,I,v I,ū,ī,v ī,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,u,U,ū,u,ū,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
U,U,U,ū,ū,ū,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
U,f,v f,ū,ṛ,v ṛ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,F,v F,ū,ṝ,v ṝ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,x,v x,ū,ḷ,v ḷ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,X,v X,ū,ḹ,v ḹ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
